"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MDOrganisationUnitOrganization","Organization.active","Organization.active","","","",0,1,"","Y","Y","boolean {[]} {[]}
","Whether the organization's record is still in active use","Whether the organization's record is still in active use.","This active flag is not intended to be used to mark an organization as temporarily closed or under construction. Instead the Location(s) within the Organization should have the suspended status. If further details of the reason for the suspension are required, then an extension on this element should be used.

This element is labeled as a modifier because it may be used to mark that the resource was created in error.","Need a flag to indicate a record is no longer to be used and should generally be hidden for the user in the UI.","","This resource is generally assumed to be active if no value is provided for the active element","","","","","",,,,,"",,,,"Organization.active",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.type","Organization.type","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Kind of organization","The kind(s) of organization that this is.","Organizations can be corporations, wards, sections, clinical teams, government departments, etc. Note that code is generally a classifier of the type of organization; in many applications, codes are used to identity a particular organization (say, ward) as opposed to another of the same type - these are identifiers, not codes

When considering if multiple types are appropriate, you should evaluate if child organizations would be a more appropriate use of the concept, as different types likely are in different sub-areas of the organization. This is most likely to be used where type values have orthogonal values, such as a religious, academic and medical center.

We expect that some jurisdictions will profile this optionality to be a single cardinality.","Need to be able to track the kind of organization that this is - different organization types have different uses.","","","","","","","",,"example","Used to categorize the organization.","http://hl7.org/fhir/ValueSet/organization-type","",,,,"Organization.type",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.name","Organization.name","","","",0,1,"","","Y","string {[]} {[]}
","Name used for the organization","A name associated with the organization.","If the name of an organization changes, consider putting the old name in the alias column so that it can still be located through searches.","Need to use the name as the label of the organization.","","","","","","","",,,,,"",,,,"Organization.name",0,1,"org-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.alias","Organization.alias","","","",0,*,"","","","string {[]} {[]}
","A list of alternate names that the organization is known as, or was known as in the past","A list of alternate names that the organization is known as, or was known as in the past.","There are no dates associated with the alias/historic names, as this is not intended to track when names were used, but to assist in searching so that older names can still result in identifying the organization.","Over time locations and organizations go through many changes and can be known by different names.

For searching knowing previous names that the organization was known by can be very useful.","","","","","","","",,,,,"",,,,"Organization.alias",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.telecom","Organization.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","A contact detail for the organization","A contact detail for the organization.","The use code 'home' is not to be used. Note that these contacts are not the contact details of people who are employed by or represent the organization, but official contacts for the organization itself.","Human contact for the organization.","","","","","","","",,,,,"",,,,"Organization.telecom",0,*,"org-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
org-3:The telecom of an organization can never be of use 'home' {where(use = 'home').empty()}"
"MDOrganisationUnitOrganization","Organization.address","Organization.address","","","",0,*,"","","","Address {[]} {[]}
","An address for the organization","An address for the organization.","Organization may have multiple addresses with different uses or applicable periods. The use code 'home' is not to be used.","May need to keep track of the organization's addresses for contacting, billing or reporting requirements.","","","","","","","",,,,,"",,,,"Organization.address",0,*,"org-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
org-2:An address of an organization can never be of use 'home' {where(use = 'home').empty()}"
"MDOrganisationUnitOrganization","Organization.partOf","Organization.partOf","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","The organization of which this organization forms a part","The organization of which this organization forms a part.","","Need to be able to track the hierarchy of organizations within an organization.","","","","","","","",,,,,"",,,,"Organization.partOf",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.contact","Organization.contact","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contact for the organization for a certain purpose","Contact for the organization for a certain purpose.","Where multiple contacts for the same purpose are provided there is a standard extension that can be used to determine which one is the preferred contact to use.","Need to keep track of assigned contact points within bigger organization.","","","","","","","",,,,,"",,,,"Organization.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.contact.id","Organization.contact.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"MDOrganisationUnitOrganization","Organization.contact.extension","Organization.contact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MDOrganisationUnitOrganization","Organization.contact.modifierExtension","Organization.contact.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MDOrganisationUnitOrganization","Organization.contact.purpose","Organization.contact.purpose","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The type of contact","Indicates a purpose for which the contact can be reached.","","Need to distinguish between multiple contact persons.","","","","","","","",,"extensible","The purpose for which you would contact a contact party.","http://hl7.org/fhir/ValueSet/contactentity-type","",,,,"Organization.contact.purpose",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.contact.name","Organization.contact.name","","","",0,1,"","","","HumanName {[]} {[]}
","A name associated with the contact","A name associated with the contact.","","Need to be able to track the person by name.","","","","","","","",,,,,"",,,,"Organization.contact.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.contact.telecom","Organization.contact.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contact details (telephone, email, etc.)  for a contact","A contact detail (e.g. a telephone number or an email address) by which the party may be contacted.","","People have (primary) ways to contact them in some way such as phone, email.","","","","","","","",,,,,"",,,,"Organization.contact.telecom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.contact.address","Organization.contact.address","","","",0,1,"","","","Address {[]} {[]}
","Visiting or postal addresses for the contact","Visiting or postal addresses for the contact.","","May need to keep track of a contact party's address for contacting, billing or reporting requirements.","","","","","","","",,,,,"",,,,"Organization.contact.address",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MDOrganisationUnitOrganization","Organization.endpoint","Organization.endpoint","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Endpoint]]}
","Technical endpoints providing access to services operated for the organization","Technical endpoints providing access to services operated for the organization.","","Organizations have multiple systems that provide various services and need to be able to define the technical connection details for how to connect to them, and for what purpose.","","","","","","","",,,,,"",,,,"Organization.endpoint",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HIVView","HIVView","HIVView","","","",0,*,"","","","null {[]} {[]}
","HIV Case Surveillance","Logical model representation of the HIV case surveillance and treatment follow up program.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVView","HIVView.caseReport","HIVView.caseReport","","","",0,1,"","","","https://dhis2.org/StructureDefinition/HIVCaseData {[]} {[]}
","HIV Initial Case Report","HIV Initial Case Report","","","","","","","","","",,,,,"",,,,"HIVView.caseReport",0,1,"",""
"HIVView","HIVView.visit","HIVView.visit","","","",0,*,"","","","https://dhis2.org/StructureDefinition/HIVCaseVisitData {[]} {[]}
","HIV Visit","HIV Visit","","","","","","","","","",,,,,"",,,,"HIVView.visit",0,*,"",""
"HIVView","HIVView.followUp","HIVView.followUp","","","",0,*,"","","","https://dhis2.org/StructureDefinition/HIVFollowUp {[]} {[]}
","HIV Follow-Up","HIV Follow-Up","","","","","","","","","",,,,,"",,,,"HIVView.followUp",0,*,"",""
"HIVView","HIVView.patient","HIVView.patient","","","",1,1,"","","","https://dhis2.org/StructureDefinition/HIVPatientInfo {[]} {[]}
","HIV Patient Info","HIV Patient Info","","","","","","","","","",,,,,"",,,,"HIVView.patient",1,1,"",""
"d2-md-option-set","d2-md-option-set","d2-md-option-set","","","",0,*,"","","","null {[]} {[]}
","DHIS2 Metadata: OptionSet","DHIS2 Metadata: OptionSet","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"d2-md-option-set","d2-md-option-set.id","d2-md-option-set.id","","","",1,1,"","","","Identifier {[]} {[]}
","Unique UID for option set","Unique UID for option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.id",1,1,"",""
"d2-md-option-set","d2-md-option-set.code","d2-md-option-set.code","","","",0,1,"","","","Identifier {[]} {[]}
","Unique CODE for option set","Unique CODE for option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.code",0,1,"",""
"d2-md-option-set","d2-md-option-set.href","d2-md-option-set.href","","","",0,1,"","","","Identifier {[]} {[]}
","Unique URL where the option set is available from","Unique URL where the option set is available from","","","","","","","","","",,,,,"",,,,"d2-md-option-set.href",0,1,"",""
"d2-md-option-set","d2-md-option-set.name","d2-md-option-set.name","","","",1,1,"","","","string {[]} {[]}
","Name of option set","Name of option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.name",1,1,"",""
"d2-md-option-set","d2-md-option-set.shortName","d2-md-option-set.shortName","","","",1,1,"","","","string {[]} {[]}
","Short name of option set","Short name of option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.shortName",1,1,"",""
"d2-md-option-set","d2-md-option-set.description","d2-md-option-set.description","","","",0,1,"","","","string {[]} {[]}
","Description of option set","Description of option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.description",0,1,"",""
"d2-md-option-set","d2-md-option-set.options","d2-md-option-set.options","","","",0,*,"","","","https://dhis2.org/StructureDefinition/d2-md-option {[]} {[]}
","programs associated with this option set","programs associated with this option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.options",0,*,"",""
"d2-md-option-set","d2-md-option-set.attributeValues","d2-md-option-set.attributeValues","","","",0,*,"","","","https://dhis2.org/StructureDefinition/d2-md-attribute-value {[]} {[]}
","additional attributes that are in this option set","additional attributes that are in this option set","","","","","","","","","",,,,,"",,,,"d2-md-option-set.attributeValues",0,*,"",""
"d2-md-organisation-unit","d2-md-organisation-unit","d2-md-organisation-unit","","","",0,*,"","","","null {[]} {[]}
","DHIS2 Metadata: OrganisationUnit","DHIS2 Metadata: OrganisationUnit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.id","d2-md-organisation-unit.id","","","",1,1,"","","","Identifier {[]} {[]}
","Unique UID for organisation unit","Unique UID for organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.id",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.code","d2-md-organisation-unit.code","","","",0,1,"","","","Identifier {[]} {[]}
","Unique CODE for organisation unit","Unique CODE for organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.code",0,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.href","d2-md-organisation-unit.href","","","",0,1,"","","","Identifier {[]} {[]}
","Unique URL where the organisation unit is available from","Unique URL where the organisation unit is available from","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.href",0,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.level","d2-md-organisation-unit.level","","","",1,1,"","","","integer {[]} {[]}
","Level in hiearchy of organisation units","Level in hiearchy of organisation units","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.level",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.parent","d2-md-organisation-unit.parent","","","",0,1,"","","","string {[]} {[]}
","Parent of organisation unit","Parent of organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.parent",0,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.leaf","d2-md-organisation-unit.leaf","","","",1,1,"","","","boolean {[]} {[]}
","Is this is a leaf node in the organisation unit tree","Is this is a leaf node in the organisation unit tree","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.leaf",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.name","d2-md-organisation-unit.name","","","",1,1,"","","","string {[]} {[]}
","Name of organisation","Name of organisation","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.name",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.shortName","d2-md-organisation-unit.shortName","","","",1,1,"","","","string {[]} {[]}
","Short name of organisation unit","Short name of organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.shortName",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.description","d2-md-organisation-unit.description","","","",0,1,"","","","string {[]} {[]}
","Description of organisation unit","Description of organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.description",0,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.openingDate","d2-md-organisation-unit.openingDate","","","",1,1,"","","","date {[]} {[]}
","Date this organisation unit was opened","Date this organisation unit was opened","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.openingDate",1,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.geometry","d2-md-organisation-unit.geometry","","","",0,1,"","","","string {[]} {[]}
","GeoJson geometry of organisation unit","GeoJson geometry of organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.geometry",0,1,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.organisationUnitGroups","d2-md-organisation-unit.organisationUnitGroups","","","",0,*,"","","","Identifier {[]} {[]}
","organisation unit groups that contains this organisation unit","organisation unit groups that contains this organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.organisationUnitGroups",0,*,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.dataSets","d2-md-organisation-unit.dataSets","","","",0,*,"","","","Identifier {[]} {[]}
","data sets associated with this organisation unit","data sets associated with this organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.dataSets",0,*,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.programs","d2-md-organisation-unit.programs","","","",0,*,"","","","Identifier {[]} {[]}
","programs associated with this organisation unit","programs associated with this organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.programs",0,*,"",""
"d2-md-organisation-unit","d2-md-organisation-unit.attributeValues","d2-md-organisation-unit.attributeValues","","","",0,*,"","","","https://dhis2.org/StructureDefinition/d2-md-attribute-value {[]} {[]}
","additional attributes that are in this organisation unit","additional attributes that are in this organisation unit","","","","","","","","","",,,,,"",,,,"d2-md-organisation-unit.attributeValues",0,*,"",""
"d2-md-attribute-value","d2-md-attribute-value","d2-md-attribute-value","","","",0,*,"","","","null {[]} {[]}
","DHIS2 Metadata: AttributeValue","DHIS2 Metadata: AttributeValue","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"d2-md-attribute-value","d2-md-attribute-value.attribute","d2-md-attribute-value.attribute","","","",1,1,"","","","Identifier {[]} {[]}
","Attribute UID","Attribute UID","","","","","","","","","",,,,,"",,,,"d2-md-attribute-value.attribute",1,1,"",""
"d2-md-attribute-value","d2-md-attribute-value.value","d2-md-attribute-value.value","","","",1,1,"","","","string {[]} {[]}
","Value of attribute","Value of attribute","","","","","","","","","",,,,,"",,,,"d2-md-attribute-value.value",1,1,"",""
"HIVCaseVisitData","HIVCaseVisitData","HIVCaseVisitData","","","",0,*,"","","","null {[]} {[]}
","HIV Visit","Report filled out during facility visit.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVCaseVisitData","HIVCaseVisitData.visitDate","HIVCaseVisitData.visitDate","","","",1,1,"","","","date {[]} {[]}
","Viral load test date","Viral load test date","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.visitDate",1,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.dueDate","HIVCaseVisitData.dueDate","","","",1,1,"","","","date {[]} {[]}
","Visit due date","Visit due date","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.dueDate",1,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.reasonForVisit","HIVCaseVisitData.reasonForVisit","","","",0,1,"","","","Coding {[]} {[]}
","The reason for this visit","The reason for this visit","","","","","","","","","",,"example","","https://dhis2.org/ValueSet/HIVreasonsForVisitVS","",,,,"HIVCaseVisitData.reasonForVisit",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.treatmentStarted","HIVCaseVisitData.treatmentStarted","","","",0,1,"","","","boolean {[]} {[]}
","Is the patient currently on treatment","Is the patient currently on treatment","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.treatmentStarted",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.dateARTInitiation","HIVCaseVisitData.dateARTInitiation","","","",0,1,"","","","date {[]} {[]}
","Date of ART initiation","Date of ART initiation","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.dateARTInitiation",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.eligibleforTBPreventiveTreatment","HIVCaseVisitData.eligibleforTBPreventiveTreatment","","","",0,1,"","","","boolean {[]} {[]}
","Is patient eligible for preventive treatment","Is patient eligible for preventive treatment","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.eligibleforTBPreventiveTreatment",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.TPTEligibleDate","HIVCaseVisitData.TPTEligibleDate","","","",0,1,"","","","date {[]} {[]}
","TPT Date Eligible","TPT Date Eligible","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.TPTEligibleDate",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.TPTInitiatedDate","HIVCaseVisitData.TPTInitiatedDate","","","",0,1,"","","","date {[]} {[]}
","TPT Date Initiated","TPT Date Initiated","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.TPTInitiatedDate",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.TPTRegimen","HIVCaseVisitData.TPTRegimen","","","",0,1,"","","","Coding {[]} {[]}
","TPT Regimen","TPT Regimen","","","","","","","","","",,"example","","https://dhis2.org/ValueSet/HIVtptRegimenVS","",,,,"HIVCaseVisitData.TPTRegimen",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.TPTCompletedDate","HIVCaseVisitData.TPTCompletedDate","","","",0,1,"","","","date {[]} {[]}
","TPT Date Completed","TPT Date Completed","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.TPTCompletedDate",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.TPTrestartTreatment","HIVCaseVisitData.TPTrestartTreatment","","","",0,1,"","","","boolean {[]} {[]}
","TPT restart treatment","TPT restart treatment","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.TPTrestartTreatment",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.treatmentStatus","HIVCaseVisitData.treatmentStatus","","","",0,1,"","","","Coding {[]} {[]}
","Treatment status","Treatment status","","","","","","","","","",,"example","","https://dhis2.org/ValueSet/HIVtreatmentStatusVS","",,,,"HIVCaseVisitData.treatmentStatus",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.viralLoadTestDate","HIVCaseVisitData.viralLoadTestDate","","","",0,1,"","","","date {[]} {[]}
","Viral load test date","Viral load test date","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.viralLoadTestDate",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.viralLoadLessThanThousand","HIVCaseVisitData.viralLoadLessThanThousand","","","",0,1,"","","","boolean {[]} {[]}
","Viral load < 1000","Viral load < 1000","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.viralLoadLessThanThousand",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.numberOfviralLoadTestResults","HIVCaseVisitData.numberOfviralLoadTestResults","","","",0,1,"","","","integer {[]} {[]}
","Viral load test results","Viral load test results","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.numberOfviralLoadTestResults",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.previousViralLoadValue","HIVCaseVisitData.previousViralLoadValue","","","",0,1,"","","","integer {[]} {[]}
","Previous viral load value","Previous viral load value","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.previousViralLoadValue",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.lastDateWithART","HIVCaseVisitData.lastDateWithART","","","",0,1,"","","","date {[]} {[]}
","Last day with ART","Last day with ART","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.lastDateWithART",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.dateOfDeath","HIVCaseVisitData.dateOfDeath","","","",0,1,"","","","date {[]} {[]}
","Date of death","Date of death","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.dateOfDeath",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.statusChangeDate","HIVCaseVisitData.statusChangeDate","","","",0,1,"","","","date {[]} {[]}
","Status change date","Status change date","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.statusChangeDate",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.currentlyPregnant","HIVCaseVisitData.currentlyPregnant","","","",0,1,"","","","boolean {[]} {[]}
","Currently pregnant?","Currently pregnant?","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.currentlyPregnant",0,1,"",""
"HIVCaseVisitData","HIVCaseVisitData.daysARTdispensed","HIVCaseVisitData.daysARTdispensed","","","",0,1,"","","","integer {[]} {[]}
","Days of ART provided","Days of ART provided","","","","","","","","","",,,,,"",,,,"HIVCaseVisitData.daysARTdispensed",0,1,"",""
"HIVCaseData","HIVCaseData","HIVCaseData","","","",0,*,"","","","null {[]} {[]}
","HIV Initial Case Report","Initial case report filled out after enrollment.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVCaseData","HIVCaseData.initialCaseReportDate","HIVCaseData.initialCaseReportDate","","","",1,1,"","","","date {[]} {[]}
","Initial Case Report","Initial Case Report","","","","","","","","","",,,,,"",,,,"HIVCaseData.initialCaseReportDate",1,1,"",""
"HIVCaseData","HIVCaseData.dateHIVPositiveTest","HIVCaseData.dateHIVPositiveTest","","","",1,1,"","","","date {[]} {[]}
","Date of documented positive HIV test","Date of documented positive HIV test","","","","","","","","","",,,,,"",,,,"HIVCaseData.dateHIVPositiveTest",1,1,"",""
"HIVCaseData","HIVCaseData.ageWhenDiagnosedWithHiv","HIVCaseData.ageWhenDiagnosedWithHiv","","","",0,1,"","","","integer {[]} {[]}
","Age at diagnosis","Age at diagnosis","","","","","","","","","",,,,,"",,,,"HIVCaseData.ageWhenDiagnosedWithHiv",0,1,"",""
"HIVCaseData","HIVCaseData.verticalTransmission","HIVCaseData.verticalTransmission","","","",0,1,"","","","boolean {[]} {[]}
","Vertical transmission","Vertical transmission","","","","","","","","","",,,,,"",,,,"HIVCaseData.verticalTransmission",0,1,"",""
"HIVCaseData","HIVCaseData.typeOfTesting","HIVCaseData.typeOfTesting","","","",0,1,"","","","Coding {[]} {[]}
","Type of community-level testing","Type of community-level testing","","","","","","","","","",,"example","","https://dhis2.org/ValueSet/HIVtypeOfTestingVS","",,,,"HIVCaseData.typeOfTesting",0,1,"",""
"HIVCaseData","HIVCaseData.facilityLevelTestingEntryPoint","HIVCaseData.facilityLevelTestingEntryPoint","","","",0,1,"","","","Coding {[]} {[]}
","Entry point for facility-level testing","Entry point for facility-level testing","","","","","","","","","",,"example","","https://dhis2.org/ValueSet/HIVfacilityLevelTestingEntryPointsVS","",,,,"HIVCaseData.facilityLevelTestingEntryPoint",0,1,"",""
"HIVCaseData","HIVCaseData.patientInKeyPopGroup","HIVCaseData.patientInKeyPopGroup","","","",1,1,"","","","boolean {[]} {[]}
","Does this person belong to any Key Population groups","Does this person belong to any Key Population groups","","","","","","","","","",,,,,"",,,,"HIVCaseData.patientInKeyPopGroup",1,1,"",""
"HIVCaseData","HIVCaseData.keyPopGroupMenWhoHaveSexWithMen","HIVCaseData.keyPopGroupMenWhoHaveSexWithMen","","","",0,1,"","","","boolean {[]} {[]}
","Key population - Men who have sex with men","Key population - Men who have sex with men","","","","","","","","","",,,,,"",,,,"HIVCaseData.keyPopGroupMenWhoHaveSexWithMen",0,1,"",""
"HIVCaseData","HIVCaseData.keyPopGroupInjectionDrugUser","HIVCaseData.keyPopGroupInjectionDrugUser","","","",0,1,"","","","boolean {[]} {[]}
","Key population - Injection drug user","Key population - Injection drug user","","","","","","","","","",,,,,"",,,,"HIVCaseData.keyPopGroupInjectionDrugUser",0,1,"",""
"HIVCaseData","HIVCaseData.keyPopGroupPrisoner","HIVCaseData.keyPopGroupPrisoner","","","",0,1,"","","","boolean {[]} {[]}
","Key population - Prisoner","Key population - Prisoner","","","","","","","","","",,,,,"",,,,"HIVCaseData.keyPopGroupPrisoner",0,1,"",""
"HIVCaseData","HIVCaseData.keyPopGroupSexWorker","HIVCaseData.keyPopGroupSexWorker","","","",0,1,"","","","boolean {[]} {[]}
","Key population - Sex worker","Key population - Sex worker","","","","","","","","","",,,,,"",,,,"HIVCaseData.keyPopGroupSexWorker",0,1,"",""
"HIVCaseData","HIVCaseData.keyPopGroupTransgender","HIVCaseData.keyPopGroupTransgender","","","",0,1,"","","","boolean {[]} {[]}
","Key population - Transgender","Key population - Transgender","","","","","","","","","",,,,,"",,,,"HIVCaseData.keyPopGroupTransgender",0,1,"",""
